Parcela;Especie;NP;Fuste;CAP;obs
14;Faramea cyanea;2061;1;12;
14;Indeterminada;2062;1;14,2;
14;Indetermida;2064;1;11;
14;Indetermida;2064;2;10;
14;Indetermida;2064;3;10;
14;Tibouchina candoleana;2065;1;;morta
14;Tibouchina candoleana;2066;1;11,8;
14;Eremanthus incanus;2067;1;22,5;
14;Fabaceae sp.1;2068;1;15;
14;Pera glabrata;2070;1;20,2;
14;Pera glabrata;2070;2;14;
14;Faramea cyanea;2073;1;14;
14;Indetermida;2074;1;14;
14;Pera glabrata;2079;1;12;
14;Indetermida;2080;1;11,3;
14;Indeterminada;2081;1;10;
14;Indetermida;2081;1;10,2;
14;Pera glabrata;2083;1;16;
14;Anacardiaceae1;2085;1;18;
14;Xylopia sericea;2091;1;12,7;
14;Xylopia sericea;2091;2;15,8;
14;Xylopia sericea;2091;3;13,3;
14;Xylopia sericea;2091;1;11,9;
14;Indeterminada;2092;1;17;
14;Eremanthus incanus;2094;1;19,2;
14;Anacardiaceae1;2096;1;47;
14;Anacardiaceae1;2096;2;18;
14;Anacardiaceae1;2096;3;13,5;
14;Anacardiaceae1;2096;4;15,5;
14;tachigali rugosa;2100;1;15;
14;tachigali rugosa;2100;2;15,5;
14;tachigali rugosa;2100;3;11;
14;tachigali rugosa;2100;4;15;
15;Indeterminda;172;1;28,8;
15;Indeterminda;172;2;19,5;
15;Indeterminda;172;3;17,6;
15;Indeterminda;173;1;11,9;
15;Indeterminda;174;1;14,5;
15;Indeterminda;175;1;10;
15;Indeterminda;176;1;12;
15;Indeterminda;177;1;12;
15;Indeterminda;178;1;10,4;
15;Indetermida;179;1;22,5;
15;Indetermida;180;1;11,5;
15;Indetermida;181;1;11,2;
15;Indetermida;182;1;10,3;
15;Indetermida;183;1;21;
15;Indetermida;184;1;13;
15;Indetermida;185;1;13,9;
15;Indetermida;186;1;13,9;
15;Indetermida;187;1;17,8;
15;Indetermida;188;1;23;
15;Indetermida;189;1;17;
15;Indetermida;190;1;34,5;
15;Indetermida;191;1;12,9;
15;Indetermida;192;1;19,9;
15;Indetermida;193;1;17;
15;Indetermida;194;1;11,2;
15;Indetermida;195;1;15,7;
15;Indeterminda;196;1;26,5;
15;Indeterminda;197;1;18;
15;Indeterminda;198;1;14,5;
15;Indeterminda;199;1;18,6;
15;Indeterminda;199;1;12,4;
15;Indeterminda;200;1;12,6;
15;Indeterminda;201;1;12;
15;Indeterminda;202;1;15,9;
15;Indeterminda;203;1;16;
15;Indeterminda;204;1;19,1;
15;Indeterminda;205;1;32;
15;Xylopia sericea;2115;1;11;
15;Indeterminda;2118;1;10,5;
15;Indeterminda;2119;1;12,5;
15;Indeterminda;2120;1;10;
15;Tibouchina candoleana;2121;1;;
15;Indeterminda;2122;1;9,9;
15;Swartzia apetala;2125;1;12,1;3,85
15;Anacardiaceae1;2126;1;18,8;5,98
15;Anacardiaceae1;2126;2;16,0;5,09
15;Anacardiaceae1;2126;3;11,8;3,76
15;Anacardiaceae1;2126;4;11,8;3,76
15;Anacardiaceae1;2126;5;20,0;6,37
15;Indeterminda;2129;1;16,5;
15;Indeterminda;2129;2;13;
15;M. amazonica;2136;1;17,0;5,41
15;Swartzia apetala;2137;1;15,5;4,93
15;Swartzia apetala;2137;2;8,6;2,74
15;Ocotea acyphila;2148;1;17,8;5,67
15;tachigali rugosa;2149;1;13;
15;Roupala montana ;2150;1;;
15;Roupala montana ;2153;1;29,0;9,23
15;Dimorphandra mollis;2156;1;14,0;4,46
15;Erythroxylum pelleterianum;2159;1;;
15;Indeterminada 1;2161;1;21,9;6,97
15;Indetermida;2164;1;24,1;
15;Gomidesia sellowiana;2167;1;13,3;4,23
15;Erythroxylum pelleterianum;2168;1;10,0;3,18
15;Roupala montana ;2171;1;13,8;4,39
15;Cupania vernalis ;2172;1;15,5;4,93
15;Tibouchina candoleana;2174;1;15,0;4,77
15;Indeterminda;2175;1;11;
15;tachigali rugosa;2177;1;40,8;12,99
15;tachigali rugosa;2177;2;31,3;9,96
15;Indeterminda;2178;1;9,9;
15;Miconia trianea;2180;1;12,5;3,98
15;Tibouchina candoleana;2182;1;15,0;4,77
15;Ocotea acyphila;2183;1;17,0;5,41
15;Cupania vernalis ;2187;1;15,1;4,81
15;Indetermida;2191;1;17,8;
15;Indetermida;2191;2;14;
15;Miconia trianea;2192;1;16,4;5,22
15;Indetermida;2195;1;13,8;
15;Gomidesia sellowiana;2196;1;17,5;5,57
15;Erythroxylum pelleterianum;2197;1;10,0;3,18
15;Erythroxylum pelleterianum;2197;2;11,0;3,50
15;Protium heptaphyllum;2198;1;15,5;4,93
15;Indetermida;2201;1;20,6;
15;Indetermida;2201;2;14;
15;Indetermida;2201;3;20;
15;Indetermida;2201;4;21,7;
15;Indetermida;2202;1;10,9;
15;Roupala montana ;2204;1;20,2;6,43
15;Indeterminda;2205;1;;morta
15;Indetermida;2207;1;10,8;
15;Indetermida;2207;2;11;
15;Anacardiaceae1;2208;1;13,7;4,36
15;Anacardiaceae1;2208;2;18,2;5,79
15;M. amazonica;2211;1;17,5;5,57
15;Fabaceae sp.3;2212;1;13,8;4,39
15;Fabaceae sp.3;2212;2;11,0;3,50
15;Roupala montana ;2218;1;13,5;4,30
15;Indeterminada 1;2220;1;11,0;3,50
15;Dimorphandra mollis;2222;1;;
15;Miconia trianea;2223;1;20,8;6,62
15;Miconia trianea;2223;2;15,5;4,93
