"area","transect","tree","common_name","scientific_name","family_name","WSD_09","DBH_09","BA_09","AGB_09","area_sampled_09","BA_AS_09","AGB_AS_09","type_09","canopy_09","light_09","dead_09","class_09","X_09","Y_09","Hcom_09","Htot_09","RN_09","RS_09","RE_09","RW_09","WSD_11","DBH_11","BA_11","AGB_11","area_sampled_11","BA_AS_11","AGB_AS_11","type_11","canopy_11","light_11","dead_11","class_11","X_11","Y_11","Hcom_11","Htot_11","RN_11","RS_11","RE_11","RW_11","VOL","total.area","transect.area"
"DUC_A01","T05","1758","NI","NI","NI",0.64,49.5,0.192442185,1.577230237,0.495,0.388772091,3.186323712,"O","C",2,"A",NA,-1.15,486.06,16.53,19.76,NA,NA,NA,NA,0.58,49.5,0.192442185,"0.819790345",0.495,0.388772091,"1.656142111","O",NA,NA,"D",3,-1.15,486.06,3.82,13.91,NA,NA,NA,NA,2.55825647003465,50,1000
"DUC_A01","T05","1759","NI","NI","NI",0.64,19.9,0.031102553,0.247559094,0.199,0.156294235,1.244015546,"O","C",2,"A",NA,-0.2,485,16.64,19.19,NA,NA,NA,NA,0.7,19.9,0.031102553,"0.119253684",0.199,0.156294235,"0.599264743","O",NA,NA,"D",2,-0.2,485,3.6,12.23,NA,NA,NA,NA,0.348634271826425,50,1000
"DUC_A01","T05","1760","Ucuuba Vermelha","Virola elongata","Myristicaceae",0.52,15.8,0.01960668,0.108494682,0.158,0.12409291,0.686675205,"O","S",2,"A",NA,-0.78,483.51,7.95,16.42,NA,NA,NA,NA,0.52,15.7,0.019359279,"0.087879591",0.157,0.123307512,"0.559742617","O","S",2,"A",NA,-0.78,483.51,8.69,13.47,2.6,2.8,3.2,3,0.207584183720459,50,1000
"DUC_A01","T05","1761","Angelim Rajado","Zygia racemosa","Fabaceae",0.75,17.7,0.024605739,0.306889642,0.177,0.139015475,1.733839785,"O","C",2,"A",NA,-1.38,482.79,20.85,25.66,NA,NA,NA,NA,0.75,18.3,0.026302199,"0.249296302",0.183,0.143727864,"1.362274875","O","S",2,"A",NA,-1.38,482.79,11.51,19.5,2.9,4.6,2.2,2.8,0.290237173090312,50,1000
"DUC_A01","T05","1762","Urucurana","Sloanea guianensis","Elaeocarpaceae",0.82,11.6,0.010568318,0.081548172,0.116,0.091106187,0.703001482,"O","S",2,"A",NA,-0.12,481.19,11.99,14.52,NA,NA,NA,NA,0.82,11.3,0.010028749,"0.04444824",0.113,0.088749992,"0.39334726","O","S",2,"A",NA,-0.12,481.19,3.9,8.34,1,3.1,1.4,1.6,0.101116292999298,50,1000
"DUC_A01","T05","1764","Abiurana","Pouteria gongrijpii","Sapotaceae",0.8,11.8,0.010935884,0.084027218,0.118,0.092676983,0.712095072,"O","C",2,"A",NA,-0.23,474.78,11.61,14.82,NA,NA,NA,NA,0.8,11.7,0.010751315,"0.084169828",0.117,0.091891585,"0.71940024","O","S",2,"A",NA,-0.23,474.78,11.68,15.1,2.7,1.2,1.4,2.3,0.109109737467219,50,1000
"DUC_A01","T05","1765","NI","NI","NI",0.64,30.2,0.071631454,0.425158901,0.302,0.237190245,1.407810931,"O","C",1,"A",NA,-1.42,471.15,11.92,14.31,NA,NA,NA,NA,0.7,30,0.070685835,"0.27951477",0.3,0.235619449,"0.931715901","O",NA,NA,"D",2,-1.42,471.15,1.36,12.7,NA,NA,NA,NA,0.855601353201187,50,1000
"DUC_A01","T05","1766","Urucurana","Sloanea guianensis","Elaeocarpaceae",0.82,65.4,0.335927361,7.462140351,0.654,0.513650399,11.41000054,"O","E",1,"A",NA,-5.25,465,33.67,41.8,NA,NA,NA,NA,0.82,65.5,0.336955447,"6.820641252",0.655,0.514435797,"10.41319275","O","D",1,"A",NA,-5.25,465,22.86,38.09,6.3,6.9,6,10,4.72043410239541,50,1000
"DUC_A01","T05","1767","NI","NI","NI",0.64,20.2,0.032047387,0.235805598,0.202,0.158650429,1.167354445,"O","C",2,"A",NA,-1.77,463,14.6,17.74,NA,NA,NA,NA,0.64,20.8,0.033979466,"0.246780348",0.208,0.163362818,"1.186443981","O","S",2,"A",NA,-1.77,463,13.33,17.51,4.9,2.8,4.1,1.9,0.384048457268704,50,1000
"DUC_A01","T05","1768","Abiurana","Pouteria gongrijpii","Sapotaceae",0.8,9.8,0.007542964,0.049588295,0.098,0.07696902,0.506003008,"O","S",3,"A",NA,-0.15,460.16,4.16,12.68,NA,NA,NA,NA,0.8,10.5,0.008659015,"0.063883877",0.105,0.082466807,"0.60841788","O","S",2,"A",NA,-0.15,460.16,5.14,14.23,1.4,2.3,1.7,1.8,0.0861141292989159,50,1000
"DUC_A01","T05","1769","Ucuuba","Virola melinoni","Myristicaceae",0.48,29.3,0.067425647,0.484933392,0.293,0.230121662,1.655062771,"O","C",1,"A",NA,-0.42,458.04,18.68,23.12,NA,NA,NA,NA,0.48,29.7,0.069279187,"0.529298034",0.297,0.233263255,"1.782148262","O","S",2,"A",NA,-0.42,458.04,16.56,24.56,2.4,3,2.6,2.2,0.83699897520551,50,1000
"DUC_A01","T05","1770","Muiratinga","Maquira sclerophylla","Moraceae",0.53,15.2,0.018145839,0.078657508,0.152,0.119380521,0.517483605,"O","S",2,"A",NA,-0.74,449.9,10.47,12.62,NA,NA,NA,NA,0.53,15.4,0.018626503,"0.030453839",0.154,0.120951317,"0.197752201","O","S",3,"A",NA,-0.74,449.9,3.82,4.76,NA,NA,NA,NA,0.199006920749363,50,1000
"DUC_A01","T05","1771","NI","NI","NI",0.64,19.3,0.029255296,0.155318198,0.193,0.151581846,0.804757504,"O","S",3,"A",NA,-0.37,447.94,11.98,12.8,NA,NA,NA,NA,0.58,19.3,0.029255296,"0.097004257",0.193,0.151581846,"0.502612728","O",NA,NA,"D",3,-0.37,447.94,2.52,10.24,NA,NA,NA,NA,0.326054411180157,50,1000
"DUC_A01","T05","1772","Matamata Branco","Eschweilera coriacea","Lecythidaceae",0.85,53.7,0.226484483,3.690485039,0.537,0.421758814,6.872411619,"O","C",2,"A",NA,-0.87,447.89,23.9,29.58,NA,NA,NA,NA,0.85,53.8,0.227328786,"3.789397664",0.538,0.422544212,"7.043490082","O","D",1,"A",NA,-0.87,447.89,19.78,30.26,5.2,6.1,6,4.8,3.06951110316152,50,1000
